words (in Hausa Language),English
A ajiye,Shelved
A ajizance,Imperfectly
A amince,Safely
A arha,Cheaply
A banza,Cheaply
A barkatai,Topsy-turvy
A bayyane,Conspicuously
A bene,Upstairs
A birkice,Upside down
A boye,Hideously
A bude,Open
A burkice,Nebulously
A bushe,Dry
A cike,Full
A ciki,Aboard
A cikin,Inside
A cikin jin girma,Majestic
A cikin lokaci,In time
A cikin sanyin jiki,Unnervingly
A cikin wauta,Idiotically
A cikin zargi,Accusingly
A da,And
A daidai,Cohesive
A daidaita sahu,A balanced line
A daka,Indoors
A damance,Adroitly
A debe,Minus
A dofane,Uncertain
A dukunkune,Unclear
A fadin duniya,Around the world
A fadin duniya,Around the world
A fakaice,Indirectly
A farke,Awake
A fili,Blatantly
A firgice,Nervously
A fusace,Angrily
A gabani,Before
A gaggauce,Frenetically
A gajiye,Tediously
A gangare,Down
A gare,For
A gefen,Beside
A gicciye,Transversely
A giciye,Across
A gidan sama,Upstairs
A gigice,Shockingly
A guje,Chase
A gwaje,Testily
A haɗe,Entangled
A halin rashin bukata,Needlessly
A halin rashin fahimta,Ineptly
A halin rashin kyau,Incongruously
A halin rashin wayewa,Inexpertly
A halin rashin yarda,Disagreeably
A halin uzzurawa,Disconcertingly
A hane,Stiflingly
A hankali,Caustically
A hankaliwww,Slowwww
A hargitse,Bearish
A haskake,Brilliantly
A haukace,Madly
A inuwar,Under
A kai-a kai,A head-on
A kaikaice,Sidelong
A kalla,Quorum
A kan,Concerning
A kan gaskiya,Actually
A kan kari,Timely
A kan lokaci,Punctual
A karfafe,Stridently
A karkashin,Under
A karo shayi.,At the time tea.
A karshe,Finally
A karshen lamari,Last-ditch
A karye,A snap
A kasa,Aground
A kasakance,Degradingly
A kayace,Beutifully
A ketare,Across
A kife,Topsy-turvy
A kintse,Poised
A kowane lokaci,Ever
A kunne,Ear
A kuskure,Goofy
A kyamace,Loathsomely
A kyauta,Freely
A lokacin da,When
A madadi,On behalf of
A madadin,Instead
A makance,Blindingly
A makoki,Bereaved
A mike,Upright
A mike,Upright
A miƙe,Straight
A munance,Fatalistically
A nan,Here
A nitse,Responsibly
A rarrabe,Categorical
A rashin kyau,Nefariously
A raunace,Bleakly
A razane,Spookily
A rude,Dizzingly
A sake,Free
A sama,Up
A sarari,Expressly
A sassauce,Loose
A saukake,Effortless
A shaawance,Admiringly
A shawarce,Advisable
A shirye,Poised
A sulale,Sneakily
A takaice,Nutshell
A taƙaice,Succinct
A tara da,Plus
A tsabtace,Cleanly
A tsaftace,Immaculately
A tsanaki,Careful
A tsawace,Harshly
A tsaye,Starkly
A tsorace,Cowardly
A wadace,Amply
A waje,Outdoors
A wajejen nan,Hereabouts
A wartsake,A refreshed
A wulakance,Ignominiously
A yalwace,Wonderously
A yanayin barna,Disastrously
A yanayin bore,Revoltingly
A yanayin raguwa,Degenerately
A yaudare,Deceptively
A yi barci,To sleep
A zahiri,Candied
A zamanin yau,Nowadays
A’a,No
Aa,No
Aa,No
Ababa,Things
Ababan dariya,Ironies
Abada,Ever
Abakwat,Overcoat
A-banza,In vain
Abar yarda,Objectionable
Abara,Boat
Abarba,Pineapple
Abasiya,Overseer
Abela,Candle
Abin,What
Abin aiki,Perfunctory
Abin al’ada,Tradition
Abin alajabi,Mysteriously
Abin alhaki,Liability
Abin amana,Trust
Abin asali,Basis
Abin ashsha,Fag
Abin baiwa,Virtue
Abin baƙin ciki,Deplorable
Abin ban dariya,Joke
Abin ban mamaki,Miracle
Abin ban shaawa,Sensationally
Abin barkwanci,Joke
Abin barna,Outrage
Abin bautawa,God
Abin biki,Celebratory
Abin birgewa,Prickles
Abin boye,Secret
Abin buga hatimi,Stamp
Abin bukata,Needful
Abin burgewa,Fascinating
Abin buri,Dreamland
Abin cin zarafi,Abusive
Abin ciniki,Commodity
Abin da,What
Abin da aka fada ko aikata ba kai tsaye ba,Oblique
Abin da aka makala,Attachment
Abin da ake fahimta,Ken
Abin da ke jan,Owing
Abin dafawa,Cleanest food
Abin daidaitawa,Adaptive
Abin damuwa,Worrisome
Abin dariya,Ironically
